p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.009542936201754325,0.8730166274430414,0.138,0.094,1,9,ZC3H12A
0.009544325977587552,0.2707071614007432,0.368,0.297,1,9,ADRM1
0.009550260918592101,0.2757530898433167,0.874,0.846,1,9,ANXA1
0.009576844698311663,0.6432732721141929,0.149,0.103,1,9,DRAM1
0.009583276519901979,2.151193926380233,0.015,0.004,1,9,ENSG00000288751
0.009652985990681684,0.2658887640503562,0.544,0.474,1,9,WTAP
0.009713218395586523,1.3635482623536617,0.038,0.017,1,9,ENSG00000226644
0.009747174949287628,1.731760775335946,0.015,0.004,1,9,TNNT3
0.009796581422995736,1.2812010904580091,0.123,0.08,1,9,CCL3L3
0.009984559309680176,0.46698695701418635,0.18,0.127,1,9,KIF13B
0.009991413736561195,0.546435796905371,0.222,0.168,1,9,CD300C
