p_val,avg_log2FC,pct.1,pct.2,p_val_adj
0.0032360303070030827,1.4270187767254918,0.449,0.268,1
0.0032745230307288813,-2.213582154981939,0.029,0.125,1
0.0032881359778847057,-0.9785786228281845,0.288,0.5,1
0.003311783114566975,-1.0287795686398646,0.102,0.268,1
0.0033761280695290274,-0.46042291634476307,0.966,1,1
0.003376179927392412,-2.0923501280731256,0.049,0.161,1
0.0034012121205710096,-0.9921340514952951,0.156,0.339,1
0.003446528527903262,-1.9872387647594452,0.029,0.125,1
0.003460948618384038,-0.9834576952185594,0.132,0.304,1
0.0035498380143891227,-1.105692784531945,0.073,0.214,1
0.0035717136622635216,-2.0611545169031196,0.039,0.143,1
0.003575342503897037,4.793827360402426,0.137,0,1
0.0035819411320674364,0.7356255685579716,0.707,0.607,1
0.003599258195297064,1.178217435285523,0.537,0.339,1
0.003672041873933072,-0.5609878422695798,0.649,0.839,1
0.003688661049574836,-2.011796035431585,0.029,0.125,1
0.003706767484552824,-1.6227860437038024,0.102,0.25,1
0.0037158055848694155,-0.5054931342775737,0.678,0.821,1
0.0037606639647508023,1.8300887626917925,0.254,0.071,1
0.003794095700939,-1.4376229405870853,0.078,0.214,1
0.0038068933241292625,-1.0345762262159943,0.239,0.429,1
0.003815076344964069,-2.7904884207206337,0.015,0.089,1
0.0038803000085929225,-1.9931990108566624,0.029,0.125,1
0.003978229812351536,-0.9692145199800749,0.156,0.339,1
0.004001800212399989,-1.87733604635569,0.049,0.161,1
0.004152952223000668,-2.6149911689202616,0.015,0.089,1
0.004173831720397288,-2.1853344283391403,0.049,0.161,1
0.0042415579890103345,-2.4720743410313735,0.015,0.089,1
0.0042415579890103345,-2.529980341560079,0.015,0.089,1
0.0042415579890103345,-2.373784682858051,0.015,0.089,1
0.004290952419932251,-1.7914372476030362,0.029,0.125,1
0.00429948398196417,-0.2803503937015783,0.99,1,1
0.004301617962046556,4.433090510716832,0.132,0,1
0.004301617962046556,4.377572711040097,0.132,0,1
0.004331874950488869,-2.1462783004784076,0.015,0.089,1
0.004347590351454586,-1.5061724302311918,0.068,0.196,1
0.004354801955395478,-1.9242346003861956,0.039,0.143,1
0.004421055209685192,-1.9434833324844125,0.039,0.143,1
0.004423932035678058,-2.3088663261082973,0.015,0.089,1
0.004427251270179239,-1.4616919549972391,0.127,0.286,1
0.004512420891778371,1.7643265583120353,0.244,0.071,1
0.004554737418079822,-0.729252988285068,0.234,0.446,1
0.004555689866807391,-0.9180451459819677,0.4,0.589,1
0.004570864498597218,-0.7489587423295689,0.298,0.5,1
0.004693079612779527,-0.8866963583504299,0.2,0.393,1
0.004710839340336253,-2.1196175879564305,0.015,0.089,1
0.004710839340336253,-2.207617225129002,0.015,0.089,1
0.004780849364344608,0.855917048012937,0.507,0.321,1
0.00480338051983895,1.6424977436209887,0.263,0.089,1
0.004819594773846617,-1.4418752337943361,0.029,0.125,1
0.004845123314145762,-0.7816010055081534,0.444,0.643,1
0.004846389202081065,2.1032507417387474,0.298,0.125,1
0.004962240246628373,1.9402643353582882,0.259,0.089,1
0.004963873207745712,-0.22183381886729148,1,1,1
0.004965421529301671,-1.167418502976774,0.078,0.214,1
0.004984857631223733,-1.6255516361063953,0.039,0.143,1
0.005030366668512767,1.1359858637026463,0.385,0.179,1
0.005034282681411297,-1.4237297416720367,0.068,0.196,1
